Preço (R$),Link do Anúncio
3999,"<a href=""https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/informatica/placas-de-video/rtx-3090-24gb-pny-xlr8-loja-fisica-garantia-olx-pay-1360692279"" target=""_blank"">https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/informatica/placas-de-video/rtx-3090-24gb-pny-xlr8-loja-fisica-garantia-olx-pay-1360692279</a>"
4350,"<a href=""https://go.olx.com.br/grande-goiania-e-anapolis/informatica/placas-de-video/rtx-3090-gigabyte-turbo-edition-1359573735"" target=""_blank"">https://go.olx.com.br/grande-goiania-e-anapolis/informatica/placas-de-video/rtx-3090-gigabyte-turbo-edition-1359573735</a>"
4200,"<a href=""https://go.olx.com.br/grande-goiania-e-anapolis/informatica/placas-de-video/rtx-3090-zotac-trinity-1359574374"" target=""_blank"">https://go.olx.com.br/grande-goiania-e-anapolis/informatica/placas-de-video/rtx-3090-zotac-trinity-1359574374</a>"
3990,"<a href=""https://al.olx.com.br/alagoas/informatica/placas-de-video/rtx-3090-zotac-24gb-1359962495"" target=""_blank"">https://al.olx.com.br/alagoas/informatica/placas-de-video/rtx-3090-zotac-24gb-1359962495</a>"
4700,"<a href=""https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/informatica/placas-de-video/rtx-3090-24-gb-1359794068"" target=""_blank"">https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/informatica/placas-de-video/rtx-3090-24-gb-1359794068</a>"
4599,"<a href=""https://go.olx.com.br/grande-goiania-e-anapolis/informatica/placas-de-video/rtx-3090-gainward-24gb-1351186821"" target=""_blank"">https://go.olx.com.br/grande-goiania-e-anapolis/informatica/placas-de-video/rtx-3090-gainward-24gb-1351186821</a>"
3800,"<a href=""https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/rtx-3090-1358890567"" target=""_blank"">https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/rtx-3090-1358890567</a>"
4249,"<a href=""https://go.olx.com.br/grande-goiania-e-anapolis/informatica/placas-de-video/rtx-3090-24gb-troc0-e-parcel0-1340693918"" target=""_blank"">https://go.olx.com.br/grande-goiania-e-anapolis/informatica/placas-de-video/rtx-3090-24gb-troc0-e-parcel0-1340693918</a>"
4299,"<a href=""https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/rtx-3090-24gb-pny-1356378805"" target=""_blank"">https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/rtx-3090-24gb-pny-1356378805</a>"
4200,"<a href=""https://mt.olx.com.br/regiao-de-cuiaba/informatica/placas-de-video/rtx-3090-1354941596"" target=""_blank"">https://mt.olx.com.br/regiao-de-cuiaba/informatica/placas-de-video/rtx-3090-1354941596</a>"
4500,"<a href=""https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/evga-evga-rtx-3090-hibrida-1360736902"" target=""_blank"">https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/evga-evga-rtx-3090-hibrida-1360736902</a>"
4000,"<a href=""https://mg.olx.com.br/regiao-de-juiz-de-fora/informatica/placas-de-video/geforce-rtx-3090-24gb-vram-gainward-1357657316"" target=""_blank"">https://mg.olx.com.br/regiao-de-juiz-de-fora/informatica/placas-de-video/geforce-rtx-3090-24gb-vram-gainward-1357657316</a>"
4499,"<a href=""https://sp.olx.com.br/grande-campinas/informatica/placas-de-video/placa-de-video-rtx-3090-galax-hof-1340600819"" target=""_blank"">https://sp.olx.com.br/grande-campinas/informatica/placas-de-video/placa-de-video-rtx-3090-galax-hof-1340600819</a>"
3999,"<a href=""https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/informatica/placas-de-video/placa-de-video-rtx-3090-24gb-pny-loja-fisica-garantia-1360616225"" target=""_blank"">https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/informatica/placas-de-video/placa-de-video-rtx-3090-24gb-pny-loja-fisica-garantia-1360616225</a>"
3999,"<a href=""https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/informatica/placas-de-video/placa-de-video-rtx-3090-24gb-pny-xlr8-loja-fisica-garantia-br-1360598815"" target=""_blank"">https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/informatica/placas-de-video/placa-de-video-rtx-3090-24gb-pny-xlr8-loja-fisica-garantia-br-1360598815</a>"
7500,"<a href=""https://al.olx.com.br/alagoas/informatica/placas-de-video/evga-geforce-rtx-3090-ftw3-ultra-placa-de-video-top-de-linha-1358738115"" target=""_blank"">https://al.olx.com.br/alagoas/informatica/placas-de-video/evga-geforce-rtx-3090-ftw3-ultra-placa-de-video-top-de-linha-1358738115</a>"
3999,"<a href=""https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/informatica/placas-de-video/placa-de-video-rtx-3090-24gb-pny-xlr8-loja-fisica-garantia-1358330763"" target=""_blank"">https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/informatica/placas-de-video/placa-de-video-rtx-3090-24gb-pny-xlr8-loja-fisica-garantia-1358330763</a>"
4000,"<a href=""https://rj.olx.com.br/rio-de-janeiro-e-regiao/informatica/placas-de-video/placa-de-video-rtx-3090-zotac-24gb-trinity-1336805104"" target=""_blank"">https://rj.olx.com.br/rio-de-janeiro-e-regiao/informatica/placas-de-video/placa-de-video-rtx-3090-zotac-24gb-trinity-1336805104</a>"
5500,"<a href=""https://pe.olx.com.br/grande-recife/informatica/placas-de-video/placa-de-video-asus-rog-strix-geforce-rtx-3090-24gb-white-edition-1360045514"" target=""_blank"">https://pe.olx.com.br/grande-recife/informatica/placas-de-video/placa-de-video-asus-rog-strix-geforce-rtx-3090-24gb-white-edition-1360045514</a>"
5000,"<a href=""https://sp.olx.com.br/sao-paulo-e-regiao/informatica/placas-de-video/evga-nvidia-geforce-rtx-3090-24gb-1359833973"" target=""_blank"">https://sp.olx.com.br/sao-paulo-e-regiao/informatica/placas-de-video/evga-nvidia-geforce-rtx-3090-24gb-1359833973</a>"
8000,"<a href=""https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/informatica/placas-de-video/placa-de-video-asus-tuf-gaming-rtx-3090-24gb-1307311377"" target=""_blank"">https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/informatica/placas-de-video/placa-de-video-asus-tuf-gaming-rtx-3090-24gb-1307311377</a>"
4700,"<a href=""https://es.olx.com.br/norte-do-espirito-santo/informatica/placas-de-video/placa-de-video-nvidia-gainward-phoenix-geforce-rtx-30-series-rtx-3090-ned3090019sb-132bx-2-1350003362"" target=""_blank"">https://es.olx.com.br/norte-do-espirito-santo/informatica/placas-de-video/placa-de-video-nvidia-gainward-phoenix-geforce-rtx-30-series-rtx-3090-ned3090019sb-132bx-2-1350003362</a>"
12899,"<a href=""https://go.olx.com.br/grande-goiania-e-anapolis/informatica/computadores-e-desktops/pc-gamer-i7-3-6gz-12700k-32gb-ddr5-rtx-3090-4tb-nvme-1314798918"" target=""_blank"">https://go.olx.com.br/grande-goiania-e-anapolis/informatica/computadores-e-desktops/pc-gamer-i7-3-6gz-12700k-32gb-ddr5-rtx-3090-4tb-nvme-1314798918</a>"
4500,"<a href=""https://go.olx.com.br/grande-goiania-e-anapolis/informatica/placas-de-video/placa-de-video-geforce-rtx-3090-1313433002"" target=""_blank"">https://go.olx.com.br/grande-goiania-e-anapolis/informatica/placas-de-video/placa-de-video-geforce-rtx-3090-1313433002</a>"
5000,"<a href=""https://mg.olx.com.br/regiao-de-juiz-de-fora/informatica/placas-de-video/placa-de-video-gigabyte-geforce-rtx-3090-gaming-oc-edition-24gb-gddr6x-1332679882"" target=""_blank"">https://mg.olx.com.br/regiao-de-juiz-de-fora/informatica/placas-de-video/placa-de-video-gigabyte-geforce-rtx-3090-gaming-oc-edition-24gb-gddr6x-1332679882</a>"
4290,"<a href=""https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-zotac-nvidia-geforce-rtx-3090-trinity-24gb-1235380839"" target=""_blank"">https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-zotac-nvidia-geforce-rtx-3090-trinity-24gb-1235380839</a>"
4500,"<a href=""https://sp.olx.com.br/sao-paulo-e-regiao/informatica/placas-de-video/placa-de-video-gforce-nvidea-rtx-3090-1331143339"" target=""_blank"">https://sp.olx.com.br/sao-paulo-e-regiao/informatica/placas-de-video/placa-de-video-gforce-nvidea-rtx-3090-1331143339</a>"
4000,"<a href=""https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/informatica/placas-de-video/placa-de-video-geforce-rtx-3090-zotac-trinity-24gb-ddr6x-1345703794"" target=""_blank"">https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/informatica/placas-de-video/placa-de-video-geforce-rtx-3090-zotac-trinity-24gb-ddr6x-1345703794</a>"
7000,"<a href=""https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/computadores-e-desktops/pc-gamer-ryzen-5-5500-rtx-3090-1tb-armazenamento-1354016073"" target=""_blank"">https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/computadores-e-desktops/pc-gamer-ryzen-5-5500-rtx-3090-1tb-armazenamento-1354016073</a>"
